School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Colegio Público Adolfo Suárez,CALLE INFANTA CATALINA MICAELA 31,28050,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3796.394239895589
Colegio Público Agustina Díez,CALLE VESUBIO 5,28038,226 - Sierra Toledana,Camino de Valderribas nº 94,1932.123856524612
Colegio Público Agustín Rodriguez Sahagún,CALLE LA GRANJA DE SAN ILDEFONSO 17,28031,221 - Pavones,Calle Hacienda de Pavones nº 342,3856.153930695459
Colegio Público Alberto Alcocer,AVENIDA CANILLEJAS A VICALVARO 56,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3253.471116721979
Colegio Público Alcalde de Móstoles,CALLE ALDEANUEVA DE LA VERA 9,28044,224 - Caramuel,Calle Caramuel nº 51,6261.761114560321
Colegio Público Alfonso X El Sabio,CALLE FUENTE DE SAN PEDRO 6,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,3460.1728042129967
Colegio Público Alfredo di Stefano,calle felix candela 4,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3253.471116721979
Colegio Público Alhambra,CALLE RAMON GOMEZ DE LA SERNA 103,28035,261 - Facultad Derecho,Avenida Complutense nº 23,3619.24849088828
Colegio Público Amadeo Vives,CALLE LOS YEBENES 6,28047,224 - Caramuel,Calle Caramuel nº 51,3267.1469473734955
Colegio Público Amador de los Ríos,PASEO MARQUES DE ZAFRA 16,28028,184 - Marqués de Zafra,Paseo Marqués de Zafra nº 24,143.12032191395036
Colegio Público Amós Acero,CALLE RODRIGUEZ ESPINOSA 54,28053,227 - Concordia,Calle Arroyo del Olivar nº 6,468.28926332569415
Colegio Público Angel Nieto,AVENIDA LAS SUERTES 109,28051,221 - Pavones,Calle Hacienda de Pavones nº 342,6818.125902219959
Colegio Público Antonio Fontan,AVENIDA SANTUARIO DE VALVERDE 71,28049,217 - Pedro Rico,Calle Pedro Rico nº 4,3446.5490646603603
Colegio Público Antonio Machado,CALLE ALLARIZ 3,28044,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5419.6093479345955
Colegio Público Antonio Moreno Rosales,CALLE OLMO 4,28012,43 - Jesús y María,Calle Lavapiés nº 34,200.38835371541492
Colegio Público Antonio de Nebrija,CALLE JUAN JOSE MARTINEZ SECO 77,28021,235 - Embajadores 191,Calle Sodio nº 1B,4188.401541398562
Colegio Público Aragón,AVENIDA RAFAEL ALBERTI 2,28038,221 - Pavones,Calle Hacienda de Pavones nº 342,935.500419764518
Colegio Público Aravaca,CALLE ESTUDIO 6,28023,261 - Facultad Derecho,Avenida Complutense nº 23,6372.656651467286
Colegio Público Arcipreste de Hita,CALLE ANTONIO MORENO 25,28025,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1799.9096745035881
Colegio Público Arquitecto Gaudí,CALLE ROSA JARDON 10,28016,254 - Pío XII,Avenida Pío XII nº 3,1057.1744527610147
Colegio Público Asturias,CALLE ASTURIANOS 2,28018,221 - Pavones,Calle Hacienda de Pavones nº 342,2119.2807233443573
Colegio Público Ausias March,CALLE ESTEFANITA 9,28021,235 - Embajadores 191,Calle Sodio nº 1B,5289.300378147228
Colegio Público Azorín,CALLE GODELLA 57,28021,235 - Embajadores 191,Calle Sodio nº 1B,5173.436399212961
Colegio Público Barcelona,AVENIDA LA VERBENA DE LA PALOMA 14,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,3427.3505816925726
Colegio Público Blas de Lezo,CALLE FROMISTA 27,28050,217 - Pedro Rico,Calle Pedro Rico nº 4,3838.0183852288733
Colegio Público Blas de Otero,CALLE PUENTELARRA 34,28031,221 - Pavones,Calle Hacienda de Pavones nº 342,3300.764619100177
Colegio Público Bolivia,CALLE VILLAVALIENTE 29,28011,224 - Caramuel,Calle Caramuel nº 51,2386.4283978538424
Colegio Público Bravo Murillo,CALLE ISLAS CIES 11,28035,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2875.6952380731736
Colegio Público Breogán,CALLE GINZO DE LIMIA 2,28029,207 - Remonta,Calle Azucenas nº 1,1490.7085619072027
Colegio Público Calderón de la Barca,CALLE CALDERON 2,28042,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7824.138677173783
Colegio Público Camilo José Cela,CALLE MELCHOR FERNANDEZ ALMAGRO 22,28029,217 - Pedro Rico,Calle Pedro Rico nº 4,1415.1398946762756
Colegio Público Capitán Cortés,CALLE MONSEÑOR OSCAR ROMERO 17,28025,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3507.7411369123624
Colegio Público Cardenal Herrera Oria,CALLE FERMIN CABALLERO 68,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,2528.1947370351936
Colegio Público Carlos Sáinz de los Terreros,CALLE CARTAMA 1,28018,221 - Pavones,Calle Hacienda de Pavones nº 342,1801.027426700421
Colegio Público Carlos V,CALLE VIRGEN DEL VAL 3,28027,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18,264.91304747392593
Colegio Público Carmen Cabezuelo,CALLE CANGAS DE ONIS 7,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1357.0722648703202
Colegio Público Carmen Laforet,CALLE TITANIO 16,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,3971.5649790870275
Colegio Público Cervantes,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 4,28003,132 - Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,67.54714034971013
Colegio Público Ciudad Pegaso,AVENIDA SEPTIMA 12,28022,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5174.80324696195
Colegio Público Ciudad de Badajoz,CALLE FRAY JOSE CERDEIRIÑA 51,28024,224 - Caramuel,Calle Caramuel nº 51,6277.747282976316
Colegio Público Ciudad de Córdoba,CALLE LILLO 1,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2956.0633215564953
Colegio Público Ciudad de Guadalajara,CALLE BERGANTIN 13,28042,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7063.603090606186
Colegio Público Ciudad de Jaén,CALLE MADRE ROSA BLANCO 3,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1825.2118679554835
Colegio Público Ciudad de Roma,CALLE JUAN ESPLANDIU 2,28007,182 - Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,318.44890449749033
Colegio Público Ciudad de Valencia,AVENIDA MEDITERRANEO 91,28007,221 - Pavones,Calle Hacienda de Pavones nº 342,3763.0969158662856
Colegio Público Ciudad de Zaragoza,CALLE MANUEL AGUILAR MUÑOZ 1,28042,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6513.363527287541
Colegio Público Ciudad de los Ángeles,CALLE LA ALEGRIA DE LA HUERTA 6,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,3735.4002673667296
Colegio Público Claudio Moyano,CALLE CEA BERMUDEZ 26,28003,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas,256.1067806826444
Colegio Público Complejo Escolar Príncipe Felipe,AVENIDA MONFORTE DE LEMOS 24,28029,217 - Pedro Rico,Calle Pedro Rico nº 4,1403.0044338827388
Colegio Público Concepción Arenal,CALLE ANTONIO LOPEZ 1,28019,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,194.72665227689615
Colegio Público Concha Espina,CALLE GERARDO DIEGO 6,28018,221 - Pavones,Calle Hacienda de Pavones nº 342,1931.0802039968896
Colegio Público Conde de Romanones,CALLE ELFO 143,28027,229 - C.D. Concepción,Calle Jose del Hierro nº 5,673.1614668390179
Colegio Público Cortes de Cádiz,AVENIDA NICETO ALCALA ZAMORA 48,28050,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3927.098731788499
Colegio Público Costa Rica,CALLE CAMARENA 247,28047,224 - Caramuel,Calle Caramuel nº 51,4037.597027923086
Colegio Público Cristóbal Colón,CARRETERA CARABANCHEL A VILLAVERDE 109,28041,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4346.754164006809
Colegio Público Cuba,CALLE TEMBLEQUE 58,28024,224 - Caramuel,Calle Caramuel nº 51,3987.112833294252
Colegio Público Daniel Vázquez Díaz,CALLE ARMENTEROS 46,28039,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1056.047417217504
Colegio Público Dionisio Ridruejo,CALLE ZIPAQUIRA 14,28033,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3637.763929020095
Colegio Público Doctor Conde Arruga,CALLE HACIENDA DE PAVONES 105,28030,219 - Marroquina,Calle Camino de los Vinateros nº 108,604.2911006433236
Colegio Público Doctor Federico Rubio,AVENIDA DOCTOR FEDERICO RUBIO Y GALI 53,28039,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1,152.4713275646949
Colegio Público Doctor Severo Ochoa,CALLE EZCARAY 3,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,2581.152144712134
Colegio Público Doctor Tolosa Latour,CALLE ASTURIANOS 4,28018,221 - Pavones,Calle Hacienda de Pavones nº 342,2205.426311884376
Colegio Público Dámaso Alonso,AVENIDA ESPINELA 1,28021,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4875.73507656835
